r_azon,szakmacsoport_kod,szakmacsoport_nev,is_terapia
011820102,01,Belgyógyászat,1
011820103,01,Belgyógyászat,1
011820132,01,Belgyógyászat,1
011820149,01,Belgyógyászat,1
011820150,01,Belgyógyászat,1
011820151,01,Belgyógyászat,1
011820152,01,Belgyógyászat,1
011820153,01,Belgyógyászat,1
011820154,01,Belgyógyászat,1
011820155,01,Belgyógyászat,1
011820159,01,Belgyógyászat,1
011820165,01,Belgyógyászat,1
011822734,01,Belgyógyászat,1
011823001,01,Belgyógyászat,1
011823002,01,Belgyógyászat,1
011823035,01,Belgyógyászat,1
011823036,01,Belgyógyászat,1
011823102,01,Belgyógyászat,1
011823103,01,Belgyógyászat,1
011823703,01,Belgyógyászat,1
011823733,01,Belgyógyászat,1
011824221,01,Belgyógyászat,1
011825653,01,Belgyógyászat,1
0118D6309,01,Belgyógyászat,1
011910121,01,Belgyógyászat,1
011910122,01,Belgyógyászat,1
011920104,01,Belgyógyászat,1
011920106,01,Belgyógyászat,1
011920107,01,Belgyógyászat,1
011920112,01,Belgyógyászat,1
011920123,01,Belgyógyászat,1
011920124,01,Belgyógyászat,1
011922801,01,Belgyógyászat,1
011922912,01,Belgyógyászat,1
011923001,01,Belgyógyászat,1
011923006,01,Belgyógyászat,1
011923107,01,Belgyógyászat,1
011923108,01,Belgyógyászat,1
012110101,01,Belgyógyászat,1
012110102,01,Belgyógyászat,1
012110103,01,Belgyógyászat,1
012120103,01,Belgyógyászat,1
012120104,01,Belgyógyászat,1
012120105,01,Belgyógyászat,1
012120106,01,Belgyógyászat,1
012120107,01,Belgyógyászat,1
012120108,01,Belgyógyászat,1
012122801,01,Belgyógyászat,1
012123001,01,Belgyógyászat,1
012123002,01,Belgyógyászat,1
012123101,01,Belgyógyászat,1
012123151,01,Belgyógyászat,1
012123701,01,Belgyógyászat,1
012123705,01,Belgyógyászat,1
012125622,01,Belgyógyászat,1
012125651,01,Belgyógyászat,1
01212A901,01,Belgyógyászat,1
012220111,01,Belgyógyászat,1
012220112,01,Belgyógyászat,1
012220181,01,Belgyógyászat,1
012222740,01,Belgyógyászat,1
012222741,01,Belgyógyászat,1
012222811,01,Belgyógyászat,1
012222825,01,Belgyógyászat,1
012222901,01,Belgyógyászat,1
012223001,01,Belgyógyászat,1
012223002,01,Belgyógyászat,1
012223011,01,Belgyógyászat,1
012223012,01,Belgyógyászat,1
012223021,01,Belgyógyászat,1
012223111,01,Belgyógyászat,1
012223122,01,Belgyógyászat,1
012223701,01,Belgyógyászat,1
012223711,01,Belgyógyászat,1
012223732,01,Belgyógyászat,1
012225620,01,Belgyógyászat,1
012226198,01,Belgyógyászat,1
012226199,01,Belgyógyászat,1
012235620,01,Belgyógyászat,1
012320101,01,Belgyógyászat,1
0123205C2,01,Belgyógyászat,1
0123205C3,01,Belgyógyászat,1
012323701,01,Belgyógyászat,1
012420101,01,Belgyógyászat,1
012420102,01,Belgyógyászat,1
012420103,01,Belgyógyászat,1
012420104,01,Belgyógyászat,1
012422801,01,Belgyógyászat,1
012423001,01,Belgyógyászat,1
012423002,01,Belgyógyászat,1
012423101,01,Belgyógyászat,1
012423701,01,Belgyógyászat,1
01242G311,01,Belgyógyászat,1
012520101,01,Belgyógyászat,1
012521201,01,Belgyógyászat,1
012521211,01,Belgyógyászat,1
012522801,01,Belgyógyászat,1
012523001,01,Belgyógyászat,1
012523002,01,Belgyógyászat,1
012523101,01,Belgyógyászat,1
012523701,01,Belgyógyászat,1
01252G310,01,Belgyógyászat,1
01252G311,01,Belgyógyászat,1
012710111,01,Belgyógyászat,1
012710112,01,Belgyógyászat,1
012710121,01,Belgyógyászat,1
012710123,01,Belgyógyászat,1
012710131,01,Belgyógyászat,1
012710132,01,Belgyógyászat,1
012710141,01,Belgyógyászat,1
012710151,01,Belgyógyászat,1
012710152,01,Belgyógyászat,1
012710153,01,Belgyógyászat,1
012710161,01,Belgyógyászat,1
012710162,01,Belgyógyászat,1
012710171,01,Belgyógyászat,1
012710182,01,Belgyógyászat,1
012720100,01,Belgyógyászat,1
01272010A,01,Belgyógyászat,1
01272010B,01,Belgyógyászat,1
01272011A,01,Belgyógyászat,1
01272011B,01,Belgyógyászat,1
012720120,01,Belgyógyászat,1
01272012A,01,Belgyógyászat,1
01272013A,01,Belgyógyászat,1
01272014A,01,Belgyógyászat,1
01272015A,01,Belgyógyászat,1
012720160,01,Belgyógyászat,1
01272016A,01,Belgyógyászat,1
01272017A,01,Belgyógyászat,1
012722803,01,Belgyógyászat,1
012722804,01,Belgyógyászat,1
012722805,01,Belgyógyászat,1
012722810,01,Belgyógyászat,1
012722870,01,Belgyógyászat,1
012722871,01,Belgyógyászat,1
012722900,01,Belgyógyászat,1
012723101,01,Belgyógyászat,1
012723130,01,Belgyógyászat,1
012723700,01,Belgyógyászat,1
012723750,01,Belgyógyászat,1
012724020,01,Belgyógyászat,1
012725620,01,Belgyógyászat,1
012725650,01,Belgyógyászat,1
012726600,01,Belgyógyászat,1
012726691,01,Belgyógyászat,1
01272G310,01,Belgyógyászat,1
012820101,01,Belgyógyászat,1
013020101,01,Belgyógyászat,1
013020111,01,Belgyógyászat,1
013020131,01,Belgyógyászat,1
014010101,01,Belgyógyászat,1
014010102,01,Belgyógyászat,1
014010103,01,Belgyógyászat,1
014010104,01,Belgyógyászat,1
014020101,01,Belgyógyászat,1
014020102,01,Belgyógyászat,1
014020103,01,Belgyógyászat,1
014020104,01,Belgyógyászat,1
014020105,01,Belgyógyászat,1
014020106,01,Belgyógyászat,1
014020107,01,Belgyógyászat,1
014020108,01,Belgyógyászat,1
014020109,01,Belgyógyászat,1
01402010C,01,Belgyógyászat,1
01402010D,01,Belgyógyászat,1
01402010Q,01,Belgyógyászat,1
01402010X,01,Belgyógyászat,1
014020110,01,Belgyógyászat,1
014020117,01,Belgyógyászat,1
01402011Q,01,Belgyógyászat,1
014020137,01,Belgyógyászat,1
014020181,01,Belgyógyászat,1
014020191,01,Belgyógyászat,1
014020192,01,Belgyógyászat,1
014020193,01,Belgyógyászat,1
014021612,01,Belgyógyászat,1
01402161T,01,Belgyógyászat,1
014022737,01,Belgyógyászat,1
014022801,01,Belgyógyászat,1
014022802,01,Belgyógyászat,1
014022803,01,Belgyógyászat,1
014022805,01,Belgyógyászat,1
014022806,01,Belgyógyászat,1
014022807,01,Belgyógyászat,1
014022811,01,Belgyógyászat,1
014022813,01,Belgyógyászat,1
014022817,01,Belgyógyászat,1
014022837,01,Belgyógyászat,1
014022902,01,Belgyógyászat,1
014022903,01,Belgyógyászat,1
014022937,01,Belgyógyászat,1
01402294D,01,Belgyógyászat,1
0140229PC,01,Belgyógyászat,1
014023001,01,Belgyógyászat,1
014023002,01,Belgyógyászat,1
014023003,01,Belgyógyászat,1
014023004,01,Belgyógyászat,1
014023005,01,Belgyógyászat,1
014023006,01,Belgyógyászat,1
014023007,01,Belgyógyászat,1
014023008,01,Belgyógyászat,1
014023009,01,Belgyógyászat,1
01402300T,01,Belgyógyászat,1
014023011,01,Belgyógyászat,1
014023013,01,Belgyógyászat,1
014023016,01,Belgyógyászat,1
014023017,01,Belgyógyászat,1
014023027,01,Belgyógyászat,1
014023037,01,Belgyógyászat,1
014023040,01,Belgyógyászat,1
014023041,01,Belgyógyászat,1
014023042,01,Belgyógyászat,1
0140230A2,01,Belgyógyászat,1
0140230D2,01,Belgyógyászat,1
0140230D5,01,Belgyógyászat,1
0140230D6,01,Belgyógyászat,1
0140230E5,01,Belgyógyászat,1
014023101,01,Belgyógyászat,1
014023102,01,Belgyógyászat,1
014023103,01,Belgyógyászat,1
014023104,01,Belgyógyászat,1
014023105,01,Belgyógyászat,1
014023106,01,Belgyógyászat,1
014023109,01,Belgyógyászat,1
01402310C,01,Belgyógyászat,1
01402310K,01,Belgyógyászat,1
014023113,01,Belgyógyászat,1
014023122,01,Belgyógyászat,1
014023137,01,Belgyógyászat,1
014023140,01,Belgyógyászat,1
014023141,01,Belgyógyászat,1
014023701,01,Belgyógyászat,1
014023702,01,Belgyógyászat,1
014023703,01,Belgyógyászat,1
014023705,01,Belgyógyászat,1
014023709,01,Belgyógyászat,1
01402370T,01,Belgyógyászat,1
01402370U,01,Belgyógyászat,1
014023711,01,Belgyógyászat,1
014023713,01,Belgyógyászat,1
014023716,01,Belgyógyászat,1
014023717,01,Belgyógyászat,1
014023721,01,Belgyógyászat,1
014024001,01,Belgyógyászat,1
014024216,01,Belgyógyászat,1
014024231,01,Belgyógyászat,1
014025637,01,Belgyógyászat,1
01402565C,01,Belgyógyászat,1
01402565T,01,Belgyógyászat,1
0140256E2,01,Belgyógyászat,1
0140256EQ,01,Belgyógyászat,1
014410150,01,Belgyógyászat,1
014410199,01,Belgyógyászat,1
014420101,01,Belgyógyászat,1
014420110,01,Belgyógyászat,1
01442011B,01,Belgyógyászat,1
014420120,01,Belgyógyászat,1
01442012B,01,Belgyógyászat,1
014420130,01,Belgyógyászat,1
014420140,01,Belgyógyászat,1
014420191,01,Belgyógyászat,1
014422701,01,Belgyógyászat,1
014422801,01,Belgyógyászat,1
014422901,01,Belgyógyászat,1
014422902,01,Belgyógyászat,1
014423001,01,Belgyógyászat,1
014423010,01,Belgyógyászat,1
014423101,01,Belgyógyászat,1
014425601,01,Belgyógyászat,1
014425621,01,Belgyógyászat,1
014426199,01,Belgyógyászat,1
015010101,01,Belgyógyászat,1
015010102,01,Belgyógyászat,1
015010103,01,Belgyógyászat,1
015020101,01,Belgyógyászat,1
015020102,01,Belgyógyászat,1
015020103,01,Belgyógyászat,1
015020104,01,Belgyógyászat,1
